chunk_size,inference_time,batch_size
1,15.768253087997437,1
1,0.08039069175720215,1
1,0.0751183032989502,1
1,0.10228490829467773,1
1,0.10945296287536621,1
1,0.10079622268676758,1
1,0.0727076530456543,1
1,0.0715477466583252,1
1,0.12763643264770508,1
1,0.08271217346191406,1
1,0.11973071098327637,1
1,0.1135711669921875,1
1,0.07380175590515137,1
1,0.10979652404785156,1
1,0.13570261001586914,1
1,0.11283469200134277,1
1,0.10484647750854492,1
1,0.11596131324768066,1
1,0.09348416328430176,1
1,0.07045578956604004,1
1,0.06914234161376953,1
1,0.08433866500854492,1
1,0.09171795845031738,1
1,0.09254646301269531,1
1,0.15932464599609375,1
1,0.15343141555786133,1
1,0.14511728286743164,1
1,0.13633394241333008,1
1,0.14597153663635254,1
1,0.1114187240600586,1
1,0.13324689865112305,1
1,0.08012270927429199,1
1,0.08410429954528809,1
1,0.08348870277404785,1
1,0.0967552661895752,1
1,0.11848926544189453,1
1,0.09868431091308594,1
1,0.10497617721557617,1
1,0.08728647232055664,1
1,0.0859062671661377,1
1,0.1632847785949707,1
1,0.15546846389770508,1
1,0.13919782638549805,1
1,0.13620686531066895,1
1,0.14281392097473145,1
1,0.08974647521972656,1
1,0.12066769599914551,1
1,0.08763933181762695,1
1,0.07106137275695801,1
1,0.07087397575378418,1
1,0.13289928436279297,1
1,0.16388440132141113,1
1,0.17095494270324707,1
1,0.14351224899291992,1
1,0.13579106330871582,1
1,0.1475987434387207,1
1,0.10872054100036621,1
1,0.10240507125854492,1
1,0.08861184120178223,1
1,0.08932280540466309,1
1,0.21158528327941895,1
1,0.14038515090942383,1
1,0.16025424003601074,1
1,0.1420273780822754,1
1,0.13729047775268555,1
1,0.1461021900177002,1
1,0.15849947929382324,1
1,0.14810872077941895,1
1,0.13741564750671387,1
1,0.13747382164001465,1
1,0.1684877872467041,1
1,0.1725928783416748,1
1,0.11130237579345703,1
1,0.13946771621704102,1
1,0.12746787071228027,1
1,0.1521759033203125,1
1,0.1538693904876709,1
1,0.13697004318237305,1
1,0.15032339096069336,1
1,0.13764381408691406,1
1,0.15237736701965332,1
1,0.13140130043029785,1
1,0.1695404052734375,1
1,0.1398909091949463,1
1,0.14974141120910645,1
1,0.16423749923706055,1
1,0.16080474853515625,1
